date,gas_price,cpi,fafh_cpi,real_dpi,rest_less_grocery_yoy,unemployment,sentiment,real_rest_spend,qsr_traffic,casual_traffic,real_gas,cum_inflation,real_gas_yoy,real_rest_spend_yoy,real_dpi_yoy,gas_x_cuminflation,real_gas_yoy_lag1,real_gas_yoy_lag3,real_gas_yoy_lag6,rest_gro_spread_level
1999-02-01,0.921,164.7,163.8,9476.2,0.0025657894736841325,0.044000000000000004,108.1,10949.938949938949,,,1.4296055206435947,57.59297914159035,-0.1364140711684818,0.022891575305973744,0.043496454213099556,-7.856492755425794,-0.1495335567430487,-0.1627259627468829,-0.17510259917920656,99.45355191256832
1999-03-01,0.982,164.8,164.2,9484.1,0.006916776168625738,0.042,105.7,11988.4287454324,,,1.5233667283576051,57.733621337296306,-0.05082051722656589,0.00929276912264565,0.038283850061306746,-2.9340524977240987,-0.1364140711684818,-0.1776704292435478,-0.1918715546645402,99.63592233009707
1999-04-01,1.131,165.9,164.5,9453.0,0.005617977528090012,0.043,104.6,12176.899696048631,,,1.7428756585292347,57.83910298407577,0.07356870731578846,0.029250953045423245,0.03152519068975668,4.255148038843218,-0.05082051722656589,-0.1495335567430487,-0.1611706712377855,99.15611814345992
1999-05-01,1.131,166.0,164.6,9469.3,0.005006102736628382,0.042,106.8,12652.490886998785,,,1.7418257334337353,57.87426353300226,0.041198251653229656,0.0002904580348550567,0.029048033036296328,2.384318473277959,0.07356870731578846,-0.1364140711684818,-0.1627259627468829,99.1566265060241
1999-06-01,1.114,166.0,164.6,9501.3,0.0030850232724044524,0.043,107.3,12328.675577156744,,,1.7156444447791168,57.87426353300226,0.026809493613552116,0.00763816765796399,0.02670138963929869,1.551579698577056,0.041198251653229656,-0.05082051722656589,-0.1776704292435478,99.1566265060241
1999-07-01,1.158,166.7,165.1,9519.0,0.0061841773790276555,0.043,106.0,12865.536038764387,,,1.7759189652069587,58.05006627763471,0.07458470391229799,0.025296985330172106,0.02686084142394818,4.32964700540666,0.026809493613552116,0.07356870731578846,-0.1495335567430487,99.04019196160768
1999-08-01,1.221,167.1,165.6,9559.1,0.008658372368708811,0.042,104.5,12578.502415458937,,,1.8680538853979658,58.22586902226716,0.1637076933306738,-0.00028142711780598795,0.0279375867000744,9.532022709809292,0.07458470391229799,0.041198251653229656,-0.1364140711684818,99.10233393177738
1999-09-01,1.256,167.8,165.8,9546.7,0.001113257600690698,0.042,107.2,11797.94933655006,,,1.9135854866905047,58.29619012012014,0.21289798251965908,0.01332463702366593,0.023719907779743865,12.41114126515606,0.1637076933306738,0.026809493613552116,-0.05082051722656589,98.80810488676997
1999-10-01,1.244,168.1,166.2,9598.7,0.008029574861367683,0.040999999999999995,103.2,12592.659446450061,,,1.891920366845132,58.436832315826095,0.1903027486676412,0.02010912311397295,0.027973226238286575,11.120689813131746,0.21289798251965908,0.07458470391229799,0.07356870731578846,98.8697204045211
1999-11-01,1.251,168.4,166.5,9660.9,0.00739027980322815,0.040999999999999995,107.2,11738.138138138138,,,1.8991768512470308,58.542313962605576,0.2251823249262941,0.025589071069995306,0.030539969705374093,13.182694364664572,0.1903027486676412,0.1637076933306738,0.041198251653229656,98.87173396674585
1999-12-01,1.273,168.8,166.8,9735.9,0.0067281168508164235,0.04,105.4,12379.496402877698,,,1.9279960816548183,58.64779560938504,0.31197622808997205,0.023358308991309862,0.03664938190104006,18.29671806000757,0.2251823249262941,0.21289798251965908,0.026809493613552116,98.81516587677726
2000-01-01,1.289,169.3,167.2,9799.9,0.01100206244221602,0.04,112.0,11434.808612440193,,,1.9464629646583973,58.788437805091,0.3354387262718692,0.032809196847846334,0.03767431518090647,19.719918696852726,0.31197622808997205,0.1903027486676412,0.07458470391229799,98.75959834613111
2000-02-01,1.377,170.0,167.6,9837.9,0.009157509157509125,0.040999999999999995,111.3,11775.656324582338,,,2.070785925,58.92908000079695,0.44850162866449494,0.07540839984756187,0.03816930837255428,26.42978835605775,0.3354387262718692,0.2251823249262941,0.1637076933306738,98.58823529411764
2000-03-01,1.516,171.0,167.9,9864.0,0.004173642615731277,0.04,107.1,12876.116736152471,,,2.2664872300194934,59.03456164757643,0.48781458057907856,0.07404539907352592,0.040056515641969215,28.797919929782253,0.44850162866449494,0.31197622808997205,0.21289798251965908,98.18713450292398
2000-04-01,1.465,170.9,168.1,9913.7,0.0035470901672847166,0.038,109.2,12717.43010113028,,,2.191521559879072,59.10488274542941,0.2574170447296493,0.04438982159449423,0.04873585105257594,15.21460424542088,0.48781458057907856,0.3354387262718692,0.1903027486676412,98.36161497952018
2000-05-01,1.487,171.2,168.3,9954.5,0.001747029013425161,0.04,110.7,13010.695187165775,,,2.2205338283683806,59.17520384328239,0.27483122205971067,0.028310970809318325,0.05123926795011258,16.263193587881787,0.2574170447296493,0.44850162866449494,0.2251823249262941,98.30607476635515
2000-06-01,1.633,172.2,168.6,9982.3,0.0023367240048721705,0.04,106.4,13072.953736654805,,,2.4243941265001943,59.280685490061856,0.41310988642074165,0.060369676762125346,0.050624651363497586,24.489437249743162,0.27483122205971067,0.48781458057907856,0.31197622808997205,97.90940766550523
2000-07-01,1.551,172.7,169.1,10035.9,-0.003838153074531947,0.04,108.3,13309.875813128327,,,2.295988168789809,59.456488234694305,0.29284512062308177,0.03453721423072653,0.05430192247084764,17.411542468913897,0.41310988642074165,0.2574170447296493,0.3354387262718692,97.91546033584251
2000-08-01,1.465,172.7,169.5,10098.3,-0.006309116922343261,0.040999999999999995,107.3,13129.20353982301,,,2.168679991796951,59.59713043040027,0.1609301041843021,0.043781135955204276,0.056406983921080345,9.590972409249757,0.29284512062308177,0.27483122205971067,0.44850162866449494,98.14707585408223
2000-09-01,1.55,173.6,170.0,10110.3,-0.0013835148601508696,0.039,106.8,12553.529411764706,,,2.2826123511904766,59.77293317503272,0.19284576888080096,0.06404333953815677,0.059036106717504255,11.52695725639992,0.1609301041843021,0.41310988642074165,0.48781458057907856,97.92626728110599
2000-10-01,1.532,173.9,170.3,10139.2,0.0010470261614412557,0.039,105.8,12682.912507339988,,,2.2522125225225227,59.878414821812186,0.1904372731491839,0.007167116785276928,0.05630970860637374,11.403082039161589,0.19284576888080096,0.29284512062308177,0.2574170447296493,97.92984473835537
2000-11-01,1.517,174.2,170.4,10143.5,0.00044881641012239903,0.039,107.6,12055.164319248826,,,2.226320143034826,59.91357537073867,0.17225530712054948,0.02700821692331634,0.04995393803889914,10.320431326176779,0.1904372731491839,0.1609301041843021,0.27483122205971067,97.81859931113664
2000-12-01,1.443,174.6,170.8,10164.3,-0.004417976193063611,0.039,98.4,12680.913348946135,,,2.1128675701603665,60.054217566444635,0.09588789638351924,0.02434807816563289,0.04400209533787325,5.758472591404565,0.17225530712054948,0.19284576888080096,0.41310988642074165,97.82359679266897
2001-01-01,1.447,175.6,171.4,10211.7,-0.005733377330473521,0.042,94.7,11785.88098016336,,,2.1066588159643134,60.265180860003575,0.08230100146499852,0.030702076407402856,0.04202083694731584,4.959884738247555,0.09588789638351924,0.1904372731491839,0.29284512062308177,97.60820045558087
2001-02-01,1.45,176.0,171.8,10223.4,-0.008052916910335162,0.042,90.6,11722.933643771827,,,2.106228669507576,60.40582305570954,0.0171156004489339,-0.004477260490394097,0.03918519196169923,1.033881932210524,0.08230100146499852,0.17225530712054948,0.1609301041843021,97.61363636363637
2001-03-01,1.409,176.1,172.3,10254.4,-0.008048732647638168,0.043,91.5,13219.384793964016,,,2.0455110159947005,60.58162580034199,-0.09749722438228448,0.026659284382514636,0.039578264395782714,-5.906540364099537,0.0171156004489339,0.09588789638351924,0.19284576888080096,97.84213515048269
