date,trips
2021-12-06,152778
2021-12-07,160352
2021-12-08,167167
2021-12-09,186837
2021-12-10,226656
2021-12-11,259640
2021-12-12,179843
2021-12-13,138339
2021-12-14,149187
2021-12-15,163288
2021-12-16,182009
2021-12-17,207894
2021-12-18,224046
2021-12-19,163595
2021-12-20,133951
2021-12-21,130675
2021-12-22,135484
2021-12-23,135562
2021-12-24,104554
2021-12-25,67563
2021-12-26,91338
2021-12-27,109863
2021-12-28,121424
2021-12-29,133444
2021-12-30,152983
2021-12-31,163915
2022-01-01,155635
2022-01-02,110218
2022-01-03,120690
2022-01-04,115096
2022-01-05,123569
2022-01-06,135873
2022-01-07,170472
2022-01-08,183615
2022-01-09,135945
2022-01-10,123218
2022-01-11,123992
2022-01-12,125673
2022-01-13,138723
2022-01-14,187109
2022-01-15,214919
2022-01-16,164728
2022-01-17,123681
2022-01-18,123976
2022-01-19,139890
2022-01-20,161126
2022-01-21,196693
2022-01-22,223825
2022-01-23,155103
2022-01-24,118185
2022-01-25,136845
2022-01-26,149513
2022-01-27,153883
2022-01-28,179582
2022-01-29,221509
2022-01-30,158550
2022-01-31,116422
2022-02-01,136354
2022-02-02,90750
2022-02-03,141634
2022-02-04,187122
2022-02-05,232820
2022-02-06,162032
2022-02-07,136163
2022-02-08,137966
2022-02-09,145685
2022-02-10,162790
2022-02-11,202642
2022-02-12,240507
2022-02-13,183544
2022-02-14,154077
2022-02-15,141787
2022-02-16,150020
2022-02-17,142152
2022-02-18,200647
2022-02-19,237575
2022-02-20,170135
2022-02-21,130262
2022-02-22,150889
2022-02-23,160374
2022-02-24,173752
2022-02-25,202025
2022-02-26,236947
2022-02-27,168110
2022-02-28,122183
2022-03-01,146626
2022-03-02,156347
2022-03-03,175974
2022-03-04,213814
2022-03-05,240084
2022-03-06,175372
2022-03-07,148128
2022-03-08,152383
2022-03-09,164533
2022-03-10,188384
2022-03-11,247295
2022-03-12,332045
2022-03-13,192070
2022-03-14,148560
2022-03-15,156561
2022-03-16,161934
2022-03-17,186663
2022-03-18,238117
2022-03-19,252023
2022-03-20,181929
2022-03-21,137737
2022-03-22,152251
2022-03-23,165338
2022-03-24,180125
2022-03-25,223082
2022-03-26,260985
2022-03-27,190327
2022-03-28,152163
2022-03-29,154742
2022-03-30,175268
2022-03-31,166264
2022-04-01,219908
2022-04-02,255977
2022-04-03,176904
2022-04-04,145629
2022-04-05,154268
2022-04-06,168195
2022-04-07,187060
2022-04-08,224381
2022-04-09,247950
2022-04-10,181242
2022-04-11,141067
2022-04-12,147774
2022-04-13,162541
2022-04-14,175449
2022-04-15,207135
2022-04-16,223844
2022-04-17,156437
2022-04-18,147874
2022-04-19,155224
2022-04-20,171590
2022-04-21,179566
2022-04-22,225993
2022-04-23,243100
2022-04-24,179036
2022-04-25,150541
2022-04-26,157100
2022-04-27,174327
2022-04-28,189976
2022-04-29,223467
2022-04-30,227896
2022-05-01,179649
2022-05-02,148711
2022-05-03,166329
2022-05-04,166820
2022-05-05,191637
2022-05-06,223904
2022-05-07,236734
2022-05-08,169719
2022-05-09,149476
2022-05-10,157579
2022-05-11,168181
2022-05-12,180053
2022-05-13,216242
2022-05-14,239312
2022-05-15,180747
2022-05-16,148047
2022-05-17,154822
2022-05-18,174229
2022-05-19,183004
2022-05-20,233016
2022-05-21,263933
2022-05-22,203593
2022-05-23,167247
2022-05-24,164401
2022-05-25,170584
2022-05-26,178279
2022-05-27,219561
2022-05-28,242987
2022-05-29,215841
2022-05-30,155201
2022-05-31,139505
2022-06-01,163301
2022-06-02,182927
2022-06-03,226857
2022-06-04,252981
2022-06-05,191746
2022-06-06,161017
2022-06-07,166963
2022-06-08,183856
2022-06-09,189747
2022-06-10,217158
2022-06-11,244007
2022-06-12,190376
2022-06-13,165108
2022-06-14,181064
2022-06-15,184786
2022-06-16,194147
2022-06-17,220917
2022-06-18,240255
2022-06-19,179212
2022-06-20,148088
2022-06-21,162583
2022-06-22,169534
2022-06-23,185307
2022-06-24,226231
2022-06-25,254392
2022-06-26,200480
2022-06-27,150632
2022-06-28,157263
2022-06-29,166255
2022-06-30,165757
2022-07-01,211547
2022-07-02,232766
2022-07-03,208716
2022-07-04,141849
2022-07-05,140783
2022-07-06,148076
2022-07-07,167986
2022-07-08,212956
2022-07-09,243760
2022-07-10,198897
2022-07-11,160250
2022-07-12,167685
2022-07-13,175578
2022-07-14,188859
2022-07-15,235847
2022-07-16,257418
2022-07-17,199790
2022-07-18,155211
2022-07-19,161282
2022-07-20,175967
2022-07-21,190718
2022-07-22,230074
2022-07-23,261396
2022-07-24,199439
2022-07-25,162092
2022-07-26,169585
2022-07-27,182761
2022-07-28,197526
2022-07-29,231579
2022-07-30,259483
2022-07-31,190247
2022-08-01,153774
2022-08-02,154892
2022-08-03,169946
2022-08-04,191995
2022-08-05,232471
2022-08-06,267126
2022-08-07,195570
2022-08-08,161037
2022-08-09,155701
2022-08-10,169541
2022-08-11,182470
2022-08-12,219677
2022-08-13,244633
2022-08-14,185752
2022-08-15,159714
2022-08-16,162927
2022-08-17,168994
2022-08-18,186339
2022-08-19,228765
2022-08-20,261419
2022-08-21,195367
2022-08-22,154661
2022-08-23,161336
2022-08-24,174392
2022-08-25,192609
2022-08-26,218624
2022-08-27,247526
2022-08-28,184525
2022-08-29,150425
2022-08-30,152580
2022-08-31,146389
2022-09-01,181137
2022-09-02,223848
2022-09-03,256515
2022-09-04,214988
2022-09-05,145954
2022-09-06,149316
2022-09-07,156939
2022-09-08,179321
2022-09-09,224042
2022-09-10,254705
2022-09-11,200545
2022-09-12,161181
2022-09-13,163315
2022-09-14,177759
2022-09-15,190979
2022-09-16,216968
2022-09-17,240846
2022-09-18,190117
2022-09-19,153077
2022-09-20,156422
2022-09-21,171174
2022-09-22,186440
2022-09-23,228436
2022-09-24,263075
