Category,Chain Name,2024 U.S. Sales ($000),Market_Share_in_Category_%,2024 U.S. Units
Sandwich,Portillo's,711000,2.035907568078344,94
Sandwich,Jason's Deli,666000,1.9070526587062968,236
Sandwich,Einstein Bros. Bagels,649000,1.8583741373879679,689
Sandwich,Potbelly Sandwich Shop,560000,1.6035277610743637,442
Sandwich,Honey Baked Ham Co.,402000,1.1511038570569538,439
Sandwich,Wienerschnitzel,355000,1.0165220628239269,314
Sandwich,Schlotzsky's,344000,0.9850241960885375,308
Sandwich,Fazoli's,266000,0.7616756865103227,196
Sandwich,Mendocino Farms,265000,0.7588122440798327,75
Sandwich,Penn Station East Coast Subs,262000,0.750221916788363,322
Sandwich,Newk's Eatery,213000,0.6099132376943561,95
Sandwich,Corner Bakery,210000,0.6013229104028863,99
Sandwich,La Madeleine,196000,0.5612347163760273,91
Sandwich,Bruegger's Bagels,180000,0.5154196374881883,179
Sandwich,Pret A Manger,164000,0.46960455860034933,68
Sandwich,Runza,153000,0.43810669186496004,91
Sandwich,American Deli,119000,0.3407496492283023,209
Sandwich,Cheba Hut,0,0.0,0
Sandwich,Clean Eatz,0,0.0,0
Sandwich,Capriotti's Sandwich Shop,0,0.0,0
Sandwich,Maple Street Biscuit Company,0,0.0,0
Sandwich,Board & Brew,0,0.0,0
Sandwich,Dog Haus,0,0.0,0
Sandwich,Ike's Love & Sandwiches,0,0.0,0
Sandwich,Flower Child,0,0.0,0
Sandwich,Cousins Subs,0,0.0,0
Sandwich,Kolache Factory,0,0.0,0
Sandwich,Nathan's Famous,0,0.0,0
Sandwich,Cafe Zupas,0,0.0,0
Sandwich,Mr. Pickle's Sandwich Shop,0,0.0,0
Sandwich,Urban Plates,0,0.0,0
Sandwich,PrimoHoagies,0,0.0,0
Sandwich,Noah's Bagels,0,0.0,0
Sandwich,Biscuitville Fresh Southern,0,0.0,0
Sandwich,Port of Subs,0,0.0,0
Sandwich,Buona,0,0.0,0
Sandwich,Modern Market Eatery,0,0.0,0
Sandwich,Great Harvest Bakery Cafe,0,0.0,0
Sandwich,Kneaders Bakery & Cafe,0,0.0,0
Sandwich,Roy Rogers Restaurants,0,0.0,0
Sandwich,Togo's Sandwiches,0,0.0,0
Sandwich,Lemonade,0,0.0,0
Sandwich,Which Wich,0,0.0,0
Sandwich,Quiznos,0,0.0,0
Sandwich,Le Pain Quotidien,0,0.0,0
Seafood,Red Lobster,1681000,48.08352402745996,518
Seafood,Bonefish Grill,533000,15.245995423340961,166
Seafood,Eddie V's Prime Seafood,268000,7.665903890160183,30
Seafood,Ocean Prime,228000,6.521739130434782,19
Seafood,Hook & Reel,222000,6.350114416475973,68
Seafood,Pappadeaux Seafood Kitchen,221000,6.321510297482838,38
Seafood,Legal Sea Foods,175000,5.005720823798627,26
Seafood,Boiling Crab,168000,4.805491990846682,26
Seafood,Crafty Crab,0,0.0,0
Seafood,"Hampton Social, The",0,0.0,0
Seafood,"Juicy Crab, The",0,0.0,0
Seafood,Angry Crab Shack,0,0.0,0
Seafood,Flanigan's,0,0.0,0
Seafood,Red Crab Juicy Seafood,0,0.0,0
Seafood,Truluck's,0,0.0,0
Seafood,Anthony's Restaurants,0,0.0,0
Seafood,Chart House,0,0.0,0
Seafood,Bubba Gump Shrimp Co.,0,0.0,0
Seafood,McCormick & Schmick's,0,0.0,0
Seafood,Joe's Crab Shack,0,0.0,0
Sports Bar,Buffalo Wild Wings,4054000,50.79563964415487,1323
Sports Bar,Hooters,678000,8.495176043102367,245
Sports Bar,Dave & Buster's,599000,7.505325147224659,171
Sports Bar,Miller's Ale House,595000,7.45520611452199,115
Sports Bar,Twin Peaks,575000,7.204610951008646,108
Sports Bar,Topgolf,456000,5.713569728104248,96
Sports Bar,Walk-On's Sports Bistreaux,350000,4.385415361483523,78
Sports Bar,Bubba's 33,298000,3.7338679363488287,49
Sports Bar,Beef 'O' Brady's,216000,2.706427765944117,125
Sports Bar,Roosters Wings,160000,2.0047613081067537,43
Sports Bar,Bombshells,0,0.0,0
Sports Bar,Main Event,0,0.0,0
Sports Bar,Ojos Locos Sports Cantina,0,0.0,0
Sports Bar,Thirsty Lion Gastropub,0,0.0,0
Sports Bar,Pinstripes,0,0.0,0
Sports Bar,"Brass Tap, The",0,0.0,0
Sports Bar,Glory Days Grill,0,0.0,0
Sports Bar,P.J. Whelihan's Pub & Restaurant,0,0.0,0
Sports Bar,Wings Etc. Grill & Pub,0,0.0,0
Sports Bar,Pluckers Wing Bar,0,0.0,0
Sports Bar,Jefferson's Restaurant,0,0.0,0
Sports Bar,Wings and Rings,0,0.0,0
Sports Bar,Gator's Dockside,0,0.0,0
Sports Bar,Fricker's,0,0.0,0
Sports Bar,Duffy's Sports Grill,0,0.0,0
Sports Bar,East Coast Wings + Grill,0,0.0,0
Sports Bar,Carolina Ale House,0,0.0,0
Sports Bar,Hurricane Grill & Wings,0,0.0,0
Sports Bar,Greene Turtle Sports Bar & Grille,0,0.0,0
Sports Bar,Quaker Steak & Lube,0,0.0,0
Steak,Texas Roadhouse,5488000,33.80559319945793,664
Steak,LongHorn Steakhouse,3011000,18.54749291610201,594
Steak,Outback Steakhouse,2719000,16.748798817297033,675
Steak,Ruth's Chris Steak House,805000,4.9587285943082415,133
Steak,Fogo de Chao,651000,4.010102254527535,76
Steak,"Capital Grille, The",582000,3.5850683750153998,66
Steak,Saltgrass Steak House,491000,3.0245164469631636,95
Steak,Texas de Brazil,411000,2.5317235431809784,55
Steak,Logan's Roadhouse,375000,2.3099667364789944,125
Steak,Fleming's Prime Steakhouse & Wine Bar,369000,2.2730072686953307,63
Steak,Mastro's Restaurants,327000,2.0142909942096834,23
Steak,Perry's Steakhouse & Grille,292000,1.7986940988049773,23
Steak,Morton's The Steakhouse,258000,1.5892571146975485,54
Steak,Del Frisco's Double Eagle Steak House,235000,1.44757915486017,17
Steak,STK,220000,1.3551804854010103,21
Steak,Rodizio Grill,0,0.0,0
Steak,Sullivan's Steakhouse,0,0.0,0
Steak,Rib & Chop House,0,0.0,0
Steak,Bob's Steak & Chop House,0,0.0,0
Steak,Colton's Steak House & Grill,0,0.0,0
Steak,Eddie Merlot's,0,0.0,0
Steak,Smith & Wollensky,0,0.0,0
Steak,"Palm Restaurant, The",0,0.0,0
Steak,Black Angus Steakhouse,0,0.0,0
Varied Menu,Chili's Grill & Bar,4571000,21.9749050526417,1209
Varied Menu,Applebee's,4105000,19.734628142877746,1501
Varied Menu,"Cheesecake Factory, The",2622000,12.605163213307053,215
Varied Menu,Red Robin,1499000,7.206384308446709,498
Varied Menu,BJ's Restaurant & Brewhouse,1357000,6.52372482092207,218
Varied Menu,Yard House,848000,4.076727080428825,88
Varied Menu,Cheddar's Scratch Kitchen,766000,3.6825152636892455,184
Varied Menu,Cooper's Hawk Winery & Restaurants,605000,2.9085140137493393,66
Varied Menu,TGI Fridays,411000,1.97586654487765,135
Varied Menu,Lazy Dog Restaurant & Bar,405000,1.9470217777991443,51
Varied Menu,Firebirds Wood Fired Grill,375000,1.802797942406615,64
Varied Menu,True Food Kitchen,326000,1.5672323445988174,46
Varied Menu,Seasons 52,304000,1.461468198644296,44
Varied Menu,Ninety Nine Restaurant & Pub,296000,1.423008509206288,93
Varied Menu,Famous Dave's,294000,1.4133935868467862,109
Varied Menu,Ruby Tuesday,288000,1.3845488197682805,212
Varied Menu,J. Alexander's,265000,1.273977212634008,37
Varied Menu,Bahama Breeze Island Grille,247000,1.1874429113984906,44
Varied Menu,Melting Pot,196000,0.9422623912311908,91
Varied Menu,Panini Kabob Grill,183000,0.8797653958944283,30
Varied Menu,54th Street Restaurant & Drafthouse,180000,0.8653430123551752,30
Varied Menu,Sonny's BBQ,180000,0.8653430123551752,89
Varied Menu,Bar Louie,170000,0.8172684005576655,60
Varied Menu,Smokey Bones,158000,0.7595788664006539,55
Varied Menu,O'Charley's,150000,0.721119176962646,62
Varied Menu,Ford's Garage,0,0.0,0
Varied Menu,Postino WineCafe,0,0.0,0
Varied Menu,Tupelo Honey Southern Kitchen & Bar,0,0.0,0
